"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.135930750E-1,-1.268195987E0,2.919243574E-1,9.848857880E0
9.232790120E-1,-1.148554921E0,-5.024927258E-1,1.043270683E1
9.329658350E-1,-1.306481123E0,-4.594219327E-1,1.048534870E1
9.426523980E-1,-1.598405480E0,-3.254238665E-1,1.069591713E1
9.523382310E-1,-1.828116536E0,-8.614161611E-2,1.147597694E1
9.620247420E-1,-1.593619823E0,-4.307080805E-2,1.238525009E1
9.717119290E-1,-1.646261930E0,3.014956415E-1,1.271067429E1
9.813987520E-1,-1.813759565E0,7.848458290E-1,1.234696484E1
9.910856270E-1,-2.306680918E0,1.335195065E0,1.248096275E1
1.000772658E0,-2.120040894E0,1.421336651E0,1.187318611E1
1.010458544E0,-1.799402595E0,1.320838094E0,1.090170002E1
1.020145002E0,-1.517049551E0,1.545763373E0,9.542576790E0
1.029832033E0,-9.044869542E-1,1.392622828E0,8.365307808E0
1.039518648E0,-1.339980662E-1,6.412764788E-1,7.858029366E0
1.049205835E0,-1.722832322E-1,5.934200287E-1,7.609176159E0
1.058893908E0,-1.004985496E-1,5.599204898E-1,8.298309326E0
1.068580939E0,-1.004985496E-1,7.657032609E-1,8.829515457E0
1.078268023E0,-6.699903309E-2,1.052842021E0,9.671789169E0
1.087955835E0,-3.445664644E-1,1.387837172E0,1.033699417E1
1.097643908E0,-5.647061467E-1,1.708475351E0,1.034177971E1
1.107331877E0,-7.657032609E-1,1.828116536E0,1.014556789E1
1.117020679E0,-8.183453679E-1,1.603191137E0,1.062413216E1
1.126707502E0,-1.057627559E0,1.808973908E0,1.089691448E1
1.136394689E0,-7.369893789E-1,1.612762451E0,1.033699417E1
1.146080783E0,-4.881358147E-1,1.440479279E0,9.293723106E0
1.155768335E0,-2.727817893E-1,1.292124271E0,8.484949112E0
1.165454325E0,-1.387837082E-1,1.148554921E0,7.953742504E0
1.175141981E0,-6.221338734E-2,1.129412293E0,8.035098076E0
1.184829064E0,4.307080805E-2,1.134197950E0,8.504091263E0
1.194516773E0,1.531406492E-1,1.110269666E0,9.375079155E0
1.204204169E0,2.105683982E-1,9.140582681E-1,9.987641335E0
1.213890992E0,2.871387303E-1,6.317051649E-1,9.872786522E0
1.223578439E0,3.445664644E-1,3.302095234E-1,9.480362892E0
1.233265731E0,1.339980662E-1,1.244267747E-1,8.886942863E0
1.242952033E0,1.531406492E-1,1.435693540E-2,8.623732567E0
1.252638752E0,3.062812984E-1,-4.307080805E-2,8.810373306E0
1.262324898E0,4.881358147E-1,-2.536391914E-1,9.413364410E0
1.272010731E0,4.211367965E-1,-3.397808075E-1,1.008335495E1
1.281697033E0,2.201396823E-1,-6.077769399E-1,9.829715729E0
1.291383804E0,3.828516304E-1,-1.330409408E0,1.054277611E1
1.301071617E0,1.818545163E-1,-1.646261930E0,1.137547874E1
1.310758335E0,-1.914258152E-1,-2.057827473E0,1.197846985E1
1.320444117E0,-6.652047038E-1,-2.421536446E0,1.232303619E1
1.330130887E0,-7.130611539E-1,-2.890529871E0,1.379701519E1
1.339818700E0,-1.330409408E0,-2.708675146E0,1.430429363E1
1.349505575E0,-1.172483087E0,-2.914458036E0,1.435214996E1
1.359193283E0,-1.229910851E0,-2.392822742E0,1.378744411E1
1.368880002E0,-9.858429432E-1,-2.172683001E0,1.275374508E1
1.378565835E0,-4.259224236E-1,-1.966900229E0,1.120319557E1
1.388252762E0,-7.178468257E-2,-1.430907965E0,1.003549862E1
1.397940575E0,3.493520916E-1,-7.274180651E-1,9.504291534E0
1.407628492E0,3.541377485E-1,1.483550072E-1,8.470592499E0
1.417316564E0,2.440679073E-1,1.048056364E0,7.704888821E0
1.427002398E0,-7.992027402E-1,1.890329838E0,6.891329288E0
1.436688648E0,-1.076770186E0,2.512463808E0,9.068798065E0
1.446376148E0,2.105683982E-1,1.856830359E0,1.025085258E1
1.456063335E0,7.226324677E-1,1.402194023E0,9.384650230E0
1.465751200E0,1.057627559E0,6.221338734E-2,9.824930191E0
1.475440731E0,9.092726111E-1,-4.019941986E-1,9.915857315E0
1.485128335E0,8.183453679E-1,9.092725813E-2,9.375079155E0
