"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.140571350E-1,1.100698411E-1,1.579262972E0,9.078369141E0
9.237381240E-1,3.876372576E-1,1.469193101E0,9.738788605E0
9.334173430E-1,7.178468108E-1,1.607976794E0,1.029392338E1
9.430956240E-1,8.183453679E-1,1.765903115E0,1.049491978E1
9.527749990E-1,6.221339107E-1,1.761117458E0,1.021256733E1
9.624557290E-1,4.402793646E-1,1.641476393E0,9.887143135E0
9.721355200E-1,3.349951804E-1,1.292124271E0,1.009292603E1
9.818144790E-1,3.110669553E-1,9.954141974E-1,1.029392338E1
9.914942700E-1,3.924229145E-1,9.667003751E-1,1.039920712E1
1.001174322E0,5.120640397E-1,7.226324677E-1,1.054277611E1
1.010853802E0,8.087740541E-1,4.929214716E-1,1.059541893E1
1.020533645E0,1.316052437E0,4.833501875E-1,1.080598736E1
1.030214166E0,1.335195065E0,4.833501875E-1,1.049013424E1
1.039894843E0,1.306481123E0,3.732803464E-1,1.033220863E1
1.049575781E0,1.383051515E0,1.674975902E-1,1.029392338E1
1.059254218E0,1.416550994E0,1.004985496E-1,9.963713646E0
1.068932656E0,1.497906923E0,1.435693540E-2,9.911071777E0
1.078612656E0,1.584048629E0,-1.866401732E-1,9.992427826E0
1.088292916E0,1.713261008E0,-3.780659735E-1,1.010728264E1
1.097973281E0,1.794616938E0,-6.843472719E-1,1.063370419E1
1.107654427E0,1.536192179E0,-7.369893789E-1,1.049013424E1
1.117335937E0,1.430907965E0,-8.709874153E-1,1.033220863E1
1.127016406E0,1.579262972E0,-1.095912814E0,1.023649502E1
1.136697812E0,1.708475351E0,-1.253839016E0,9.872786522E0
1.146378593E0,1.832902193E0,-1.387837172E0,9.657432556E0
1.156059270E0,1.789831281E0,-1.335195065E0,9.571290970E0
1.165740729E0,1.689332843E0,-1.196411371E0,9.724431038E0
1.175421718E0,1.564906001E0,-1.287338614E0,1.022692394E1
1.185102864E0,1.234696507E0,-1.421336651E0,1.037049294E1
1.194782499E0,1.086341500E0,-1.545763373E0,1.064327526E1
1.204462187E0,9.858429432E-1,-1.627119422E0,1.092084217E1
1.214142708E0,1.033699393E0,-1.536192179E0,1.071984577E1
1.223822968E0,1.158126116E0,-1.301695466E0,1.060020447E1
1.233503333E0,1.081555843E0,-9.954141974E-1,1.029392338E1
1.243184322E0,1.143769264E0,-9.667003751E-1,1.015992451E1
1.252864947E0,1.220339537E0,-1.076770186E0,1.024128056E1
1.262545104E0,1.272981644E0,-1.038485050E0,1.046620655E1
1.272225677E0,1.383051515E0,-8.279166222E-1,1.072463131E1
1.281907187E0,1.555334687E0,-6.699903607E-1,1.070548820E1
1.291588072E0,1.770688772E0,-5.072783828E-1,1.049491978E1
1.301269322E0,1.904686809E0,-3.014956415E-1,1.001635551E1
1.310950468E0,2.005185366E0,-3.828516230E-2,9.456435204E0
1.320630364E0,2.143969059E0,5.742774159E-2,9.131011009E0
1.330310624E0,2.282752752E0,9.571290575E-3,9.198010445E0
1.339991718E0,2.364108801E0,4.785645381E-2,9.528220177E0
1.349672760E0,2.273181438E0,4.402793646E-1,9.485149384E0
1.359352656E0,2.900100946E0,3.876372576E-1,9.681360245E0
1.369032239E0,2.924029350E0,3.684946895E-1,9.724431038E0
1.378713489E0,3.163311481E0,7.034898400E-1,9.686145782E0
1.388395520E0,3.029313564E0,9.619147182E-1,9.609575272E0
1.398076197E0,2.837887764E0,1.014556766E0,9.576076508E0
1.407755312E0,2.632104874E0,1.119840980E0,9.690931320E0
