"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.605208990E-1,6.766902447E0,-1.014556766E0,2.928814888E0
9.701873580E-1,6.786045074E0,-1.502692580E0,1.004985452E0
9.798537640E-1,7.082755089E0,-1.698904037E0,2.828316450E0
9.895202220E-1,8.240880966E0,-1.564906001E0,4.876572609E0
9.991866280E-1,9.250652313E0,-1.651047587E0,5.431707382E0
1.008853087E0,9.399007797E0,-2.498106956E0,4.575077057E0
1.018519493E0,9.159725189E0,-4.077369690E0,4.024727821E0
1.028185951E0,8.829515457E0,-4.575077057E0,3.967299938E0
1.037852358E0,8.819944382E0,-4.110869408E0,4.469792843E0
1.047518816E0,8.752944946E0,-3.153740168E0,4.876572609E0
1.057185222E0,8.307880402E0,-1.909472466E0,5.091926575E0
1.066851681E0,7.948956966E0,-8.757730722E-1,5.125426292E0
1.076518087E0,7.800601959E0,-2.775674164E-1,4.914857864E0
1.086184545E0,7.369893551E0,-3.206382394E-1,4.096512318E0
1.095850951E0,8.001599312E0,1.435693540E-2,3.383451223E0
1.105517410E0,8.772088051E0,8.087740541E-1,3.062813044E0
1.115183816E0,8.618947029E0,1.617548108E0,2.732603550E0
1.124850222E0,8.595019341E0,1.852044702E0,3.302095175E0
1.134516681E0,8.700303078E0,5.982056856E-1,3.871587038E0
1.144183139E0,9.150154114E0,-6.221339107E-1,5.087141037E0
1.153849545E0,9.762716293E0,-1.067198873E0,6.829115868E0
1.163515951E0,1.000678444E1,-1.962114573E0,8.011170387E0
1.173182410E0,1.047099209E1,-2.766103029E0,8.599804878E0
1.182848816E0,1.047577763E1,-3.460021496E0,8.480163574E0
1.192515274E0,1.023649502E1,-3.364308596E0,8.872586250E0
1.202181681E0,9.585647583E0,-2.301895380E0,9.949356079E0
1.211848139E0,8.920442581E0,-1.588834286E0,1.075334454E1
1.221514545E0,8.231309891E0,-1.564906001E0,1.042792130E1
1.231181003E0,7.762316704E0,-1.942971945E0,1.049013424E1
1.240847410E0,6.982256413E0,-2.000399828E0,1.049970531E1
1.250513868E0,5.929414749E0,-1.689332843E0,1.008814049E1
1.260180274E0,4.756931305E0,-1.167697430E0,9.848857880E0
1.269846733E0,3.570091486E0,-1.095912814E0,9.174081802E0
1.279513139E0,3.244667530E0,-8.997012973E-1,8.523234367E0
1.289179597E0,2.718246460E0,-7.322037220E-1,7.436892986E0
1.298846003E0,2.411965132E0,-7.082754970E-1,5.905486107E0
1.308512462E0,3.038884640E0,-5.072783828E-1,3.766302824E0
1.318178868E0,3.354737282E0,-3.589234054E-1,2.450250387E0
1.327845326E0,4.173082829E0,4.785645287E-3,2.163111687E0
1.337511733E0,4.953142643E0,3.349951804E-1,1.732403636E0
1.347178191E0,4.967499733E0,7.178468257E-2,2.871387303E-1
1.356844597E0,5.800201893E0,-1.818545163E-1,3.876372576E-1
1.366511056E0,6.628118515E0,1.292124242E-1,1.148554921E0
1.376177462E0,6.604190350E0,5.742774159E-2,2.258824587E0
1.385843920E0,5.752345562E0,-9.571290761E-2,3.072384357E0
1.395510326E0,5.029713154E0,-2.392822653E-1,3.062813044E0
1.405176733E0,6.340980053E0,-8.422735929E-1,2.354537487E0
1.414843191E0,7.709674358E0,-1.679761529E0,-1.143769264E0
1.424509597E0,8.441878319E0,-1.832902193E0,-2.268395901E0
1.434176056E0,8.977870941E0,-1.828116536E0,-2.440679073E0
1.443842462E0,7.714460373E0,-1.086341500E0,-1.560120344E0
1.453508920E0,6.742974281E0,-5.216353536E-1,1.435693651E-1
1.463175326E0,5.704489231E0,-1.124626637E0,-4.307080805E-2
1.472841785E0,6.125626087E0,-2.330609322E0,-2.043470621E0
1.482508191E0,6.264409542E0,-1.545763373E0,-3.967299938E0
1.492174649E0,8.408378601E0,-1.521835208E0,-3.675375462E0
1.501841056E0,8.197810173E0,-1.531406522E0,-5.178068161E0
1.511507514E0,8.164310455E0,-1.091127157E0,-5.067998409E0
1.521173920E0,8.427521706E0,-1.244267821E0,-5.781059742E0
1.530840326E0,8.149953842E0,-1.938186288E0,-6.556334019E0
1.540506785E0,8.212167740E0,-2.120040894E0,-5.211567879E0
1.550173191E0,8.193024635E0,-1.363908887E0,-4.618147850E0
1.559839649E0,7.341179848E0,-4.977070987E-1,-5.374279499E0
1.569506056E0,6.915257454E0,-4.019941986E-1,-6.221338749E0
1.579172514E0,6.690331936E0,-6.317051649E-1,-7.030112743E0
1.588838920E0,6.374479294E0,-1.698904037E0,-8.054241180E0
1.598505378E0,6.632904530E0,-2.713460922E0,-9.231510162E0
1.608171785E0,6.671189308E0,-2.225325108E0,-9.748359680E0
1.617838243E0,6.532405853E0,-1.421336651E0,-1.023649502E1
1.627504649E0,6.010770321E0,-5.742774606E-1,-9.600004196E0
1.637171108E0,5.221138954E0,1.770688742E-1,-9.293723106E0
1.646837514E0,4.441078663E0,7.513462901E-1,-9.322437286E0
1.656503920E0,3.924229145E0,1.215553880E0,-9.714859962E0
1.666170378E0,3.637090445E0,1.387837172E0,-9.714859962E0
1.675836785E0,3.144168854E0,1.110269666E0,-1.042313576E1
1.685503243E0,2.976671457E0,7.657032609E-1,-1.090170002E1
1.695169649E0,2.694318295E0,8.614161611E-1,-1.037049294E1
1.704836108E0,2.598605394E0,9.236295223E-1,-1.124148083E1
1.714502514E0,2.746960402E0,1.454836130E0,-1.270110226E1
1.724168972E0,2.670390129E0,2.268395901E0,-1.209332561E1
1.733835378E0,2.163111687E0,2.368894339E0,-1.216989613E1
1.743501837E0,1.617548108E0,2.402393818E0,-1.232782269E1
1.753168243E0,1.383051515E0,1.737189293E0,-1.327059460E1
1.762834701E0,1.799402595E0,1.191625714E0,-1.277767277E1
1.772501108E0,1.962114573E0,1.296909928E0,-1.097827053E1
1.782167514E0,1.981257200E0,1.210768223E0,-1.025563812E1
1.791833972E0,1.670190215E0,9.762716293E-1,-1.074377346E1
1.801500431E0,1.670190215E0,5.599204898E-1,-1.081555843E1
1.811166837E0,1.196411371E0,5.072783828E-1,-1.051406288E1
1.820833295E0,9.475577474E-1,6.364908218E-1,-1.025085258E1
1.830499701E0,9.140582681E-1,4.307080805E-2,-1.056191921E1
1.840166160E0,7.561319470E-1,-4.737788737E-1,-1.039920712E1
1.849832566E0,9.475577474E-1,-8.183453679E-1,-1.110269737E1
1.859498972E0,1.052842021E0,1.483550072E-1,-1.048534870E1
1.869165431E0,9.044869542E-1,9.619147182E-1,-1.036092186E1
1.878831837E0,6.221339107E-1,1.057627559E0,-1.153819084E1
1.888498295E0,-6.556333899E-1,2.751745939E0,-1.143290615E1
1.898164753E0,5.934200287E-1,1.593619823E0,-1.084905815E1
1.907831160E0,-3.732803464E-1,1.052841991E-1,-1.123669529E1
1.917497618E0,-1.148554832E-1,4.594219327E-1,-1.056191921E1
1.927164024E0,7.848458290E-1,3.924229145E-1,-1.062891865E1
1.936830483E0,6.747759581E-1,-5.742774159E-2,-1.061934662E1
1.946496889E0,8.662018180E-1,-5.694918036E-1,-1.032263660E1
1.956163347E0,5.120640397E-1,-2.392822653E-1,-9.757930756E0
1.965829753E0,1.004985496E-1,2.536391914E-1,-9.303294182E0
1.975496212E0,-4.307080805E-2,2.344966233E-1,-9.686145782E0
1.985162618E0,-3.876372576E-1,1.770688742E-1,-9.934999466E0
1.994829076E0,-2.967100143E-1,1.627119333E-1,-1.011206818E1
2.004495483E0,8.614161611E-2,5.742774159E-2,-1.029870892E1
2.014161941E0,-2.871387079E-2,1.531406492E-1,-1.077248764E1
2.023828399E0,6.987041831E-1,-1.052841991E-1,-9.293723106E0
2.033494806E0,5.312066078E-1,-1.521835208E0,-9.513862610E0
2.043161264E0,-9.092725813E-2,-1.579262972E0,-1.013599682E1
2.052827670E0,2.297109663E-1,-6.221339107E-1,-9.614361763E0
2.062494128E0,-1.914258115E-2,1.483550072E-1,-1.004506969E1
2.072160535E0,9.571290575E-3,3.972085714E-1,-1.038485050E1
2.081826993E0,-2.584248483E-1,4.833501875E-1,-1.065284634E1
2.091493399E0,-3.062812984E-1,3.637090325E-1,-1.103091240E1
2.101159858E0,-1.579262912E-1,9.523434043E-1,-1.005942631E1
2.110826316E0,-1.962114573E-1,-2.775674164E-1,-1.113141060E1
2.120492722E0,-6.843472719E-1,-4.737788737E-1,-1.147119141E1
2.130159181E0,-4.163511395E-1,3.254238665E-1,-1.112662506E1
2.139825587E0,-1.292124242E-1,6.747759581E-1,-1.103091240E1
2.149492045E0,-1.818545163E-1,5.647061467E-1,-1.015513897E1
2.159158503E0,-3.062812984E-1,-5.599204898E-1,-9.949356079E0
2.168824910E0,-1.674975902E-1,-1.158126116E0,-1.034177971E1
2.178491368E0,-3.972085714E-1,-1.627119333E-1,-9.738788605E0
2.188157774E0,-3.493520916E-1,1.914258152E-1,-9.911071777E0
2.197824233E0,-4.354937077E-1,-8.614161611E-2,-1.013121128E1
2.207490691E0,-3.158525825E-1,-3.206382394E-1,-9.671789169E0
2.217157097E0,-1.100698411E-1,-6.125625968E-1,-9.619147301E0
2.226823556E0,1.531406492E-1,-7.848458290E-1,-9.844072342E0
2.236490014E0,5.647061467E-1,-1.052842021E0,-9.236295700E0
2.246156420E0,-1.435693540E-2,-1.186840057E0,-9.556933403E0
2.255822878E0,1.100698411E-1,-3.349951804E-1,-1.125105190E1
2.265489337E0,-5.264209956E-2,5.024927258E-1,-1.004028416E1
2.275155743E0,4.307080805E-2,-1.244267747E-1,-9.748359680E0
2.284822201E0,1.067198873E0,-5.828916073E0,-9.092725754E0
2.294488660E0,-2.632105052E-1,-3.043670416E0,-1.142333508E1
2.304155066E0,4.785645287E-3,1.866401672E0,-9.619147301E0
2.313821524E0,1.292124242E-1,-1.009771109E0,-1.044706345E1
2.323487983E0,-3.062812984E-1,3.732803464E-1,-9.193224907E0
2.333154389E0,2.105683982E-1,-3.637090325E-1,-9.848857880E0
2.342820847E0,-5.742774159E-2,-3.206382394E-1,-9.887143135E0
2.352487306E0,-9.571290575E-3,-3.158525825E-1,-9.513862610E0
2.362153712E0,-9.092725813E-2,-6.699903309E-2,-9.925428391E0
2.371820170E0,-8.614161611E-2,-4.115654826E-1,-9.370293617E0
2.381486628E0,-1.435693651E-1,-4.737788737E-1,-1.038006496E1
2.391153087E0,2.057827413E-1,-3.302095234E-1,-9.250652313E0
2.400819493E0,-1.627119333E-1,-3.493520916E-1,-9.590433121E0
2.410485951E0,-3.445664644E-1,-2.919243574E-1,-1.028913784E1
2.420152410E0,-1.387837082E-1,-2.727817893E-1,-9.939785004E0
2.429818868E0,4.785645381E-2,-7.800601721E-1,-9.652647018E0
2.439485274E0,7.178468257E-2,-9.332008362E-1,-1.132283688E1
2.449151733E0,6.747759581E-1,9.571290575E-3,-9.408578873E0
2.458818191E0,2.297109663E-1,-5.503492355E-1,-1.028913784E1
2.468484649E0,2.392822690E-2,-6.029912829E-1,-1.002592659E1
2.478151056E0,-4.546363056E-1,-3.062812984E-1,-9.255437851E0
2.487817514E0,-1.627119333E-1,-3.349951804E-1,-9.968499184E0
2.497483972E0,9.571290575E-3,-1.579262912E-1,-1.025563812E1
2.507150431E0,1.339980662E-1,1.914258115E-2,-1.026042366E1
2.516816889E0,3.684946895E-1,-1.674975902E-1,-1.032263660E1
2.526483295E0,4.785645287E-3,5.264209956E-2,-1.005942631E1
2.536149753E0,-4.546363056E-1,1.052841991E-1,-1.009292603E1
2.545816212E0,1.004985496E-1,3.302095234E-1,-9.571290970E0
2.555482670E0,-4.163511395E-1,-2.009970993E-1,-9.973284721E0
2.565149128E0,-7.178468257E-2,-1.674975902E-1,-9.930213928E0
2.574815587E0,2.201396823E-1,-1.292124242E-1,-1.009771156E1
2.584481993E0,1.148554832E-1,-3.732803464E-1,-9.815358162E0
2.594148451E0,1.627119333E-1,-4.354937077E-1,-1.025563812E1
2.603814910E0,2.297109663E-1,1.627119333E-1,-9.671789169E0
2.613481368E0,1.004985496E-1,1.914258115E-2,-1.004506969E1
2.623147826E0,2.488535494E-1,4.163511395E-1,-9.221938133E0
2.632814285E0,1.914258152E-1,-8.614161611E-2,-8.298309326E0
2.642480743E0,1.914258115E-2,-1.962114573E-1,-7.724031448E0
2.652147149E0,-7.657032460E-2,-8.614161611E-1,-8.580661774E0
2.661813608E0,-2.488535494E-1,3.780659735E-1,-1.327538013E1
2.671480066E0,2.201396823E-1,9.858429432E-1,-1.343330669E1
2.681146524E0,2.871387303E-1,5.024927258E-1,-9.954142570E0
2.690812983E0,-5.264209956E-2,-2.057827413E-1,-9.509077072E0
2.700479441E0,1.387837082E-1,3.684946895E-1,-9.992427826E0
2.710145899E0,1.627119333E-1,4.163511395E-1,-9.729216576E0
2.719812358E0,-1.368694544E0,-1.780260086E0,-9.308079720E0
2.729478816E0,1.004985496E-1,-3.349951655E-2,-1.055234814E1
2.739145222E0,-1.052841991E-1,-3.828516230E-2,-9.987641335E0
2.748811733E0,-1.100698411E-1,4.307080805E-2,-9.958928108E0
2.758478191E0,-5.264209956E-2,-4.785645381E-2,-9.848857880E0
2.768144597E0,-1.722832322E-1,-1.435693540E-2,-9.872786522E0
2.777811056E0,-4.307080805E-2,-4.785645287E-3,-9.949356079E0
2.787477514E0,-1.914258115E-2,1.435693540E-2,-9.958928108E0
2.797143972E0,-9.571290761E-2,1.435693540E-2,-9.901499748E0
2.806810431E0,-1.914258115E-2,5.264209956E-2,-9.987641335E0
2.816476889E0,-1.387837082E-1,-2.392822690E-2,-9.997213364E0
2.826143399E0,-7.178468257E-2,-9.571290575E-3,-1.006899738E1
2.835809858E0,-7.657032460E-2,6.699903309E-2,-9.982855797E0
2.845476264E0,-1.339980662E-1,-1.914258115E-2,-1.005464077E1
2.855142722E0,1.914258152E-1,-1.435693651E-1,-1.000678444E1
2.864809233E0,-2.871387303E-1,1.196411327E-1,-1.002114105E1
2.874475691E0,1.435693651E-1,-4.785645381E-2,-9.422935486E0
2.884142149E0,-9.571290575E-3,-1.100698411E-1,-1.002592659E1
2.893808608E0,-2.679961324E-1,-2.488535494E-1,-9.695717812E0
