"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.347726260E-1,-3.421736479E0,3.704089403E0,8.269595146E0
9.444576260E-1,-3.493520975E0,3.029313564E0,9.164510727E0
9.541435120E-1,-3.579662561E0,2.699103832E0,9.016156197E0
9.638268450E-1,-3.809373617E0,2.517249346E0,9.265008926E0
9.735115330E-1,-3.833301783E0,2.196611166E0,8.968298912E0
9.831952830E-1,-3.838087559E0,2.067398787E0,8.461020470E0
9.928803350E-1,-4.067798615E0,1.612762451E0,8.097311974E0
1.002565699E0,-3.986442566E0,1.617548108E0,5.536991596E0
1.012250230E0,-4.125226021E0,1.986042738E0,5.264209747E0
1.021934918E0,-3.938585997E0,2.182254314E0,5.656632900E0
1.031620178E0,-3.680161238E0,2.421536446E0,6.604190350E0
1.041306168E0,-3.445664644E0,2.751745939E0,6.867401123E0
1.050991272E0,-3.278167009E0,3.062813044E0,7.211967468E0
1.060677418E0,-3.460021496E0,3.139383316E0,7.494320393E0
1.070362678E0,-4.852644444E0,2.196611166E0,7.776673794E0
1.080047418E0,-5.345565796E0,1.057627559E0,6.891329288E0
1.089733408E0,-5.345565796E0,1.698904037E0,6.900900364E0
1.099418251E0,-5.546562672E0,2.962314367E0,6.608976364E0
1.109102887E0,-5.790630817E0,3.393022537E0,6.302694798E0
1.118787939E0,-5.852844238E0,3.723232031E0,6.967899323E0
1.128472783E0,-5.809773445E0,3.991228104E0,8.307880402E0
1.138159710E0,-5.781059742E0,4.024727821E0,8.796015739E0
1.147845022E0,-5.814558983E0,4.340580463E0,8.528019905E0
1.157530335E0,-5.862415314E0,4.378865242E0,7.436892986E0
1.167215335E0,-6.005984783E0,3.651447296E0,6.427121639E0
1.176900595E0,-6.245266914E0,2.560320139E0,6.838686943E0
1.186584918E0,-6.436692715E0,3.000599623E0,7.508677483E0
1.196270699E0,-6.757331371E0,3.081955671E0,6.719046116E0
